382327,2816,1,1004,16
382328,2816,10,1001,4
382329,2816,2,1003,3
382330,2816,3,1012,14
382331,2816,6,1011,15
382332,2816,9,1026,2
382333,2816,8,1020,11
382334,2816,4,1022,5
382335,2816,5,1007,10
382336,2816,7,1018,6
382337,2816,11,1017,7
382338,2816,13,1021,8
382339,2816,12,1013,13
382340,2816,14,1000,1
382341,2816,15,1025,12
382342,2816,16,1016,9
382343,2817,1,1009,16
382344,2817,10,1001,12
382345,2817,2,1002,11
382346,2817,3,1012,14
382347,2817,6,1014,13
382348,2817,9,1015,6
382349,2817,8,1023,9
382350,2817,4,1006,10
382351,2817,5,1024,2
382352,2817,7,1018,8
382353,2817,11,1028,5
382354,2817,13,1008,1
382355,2817,12,1013,4
382356,2817,14,1019,3
382357,2817,15,1025,7
382358,2817,16,1027,15
382359,2818,1,1004,14
382360,2818,10,1029,6
382361,2818,2,1002,1
382362,2818,3,1012,13
382363,2818,6,1011,15
382364,2818,9,1015,16
382365,2818,8,1020,12
382366,2818,4,1006,2
382367,2818,5,1024,8
382368,2818,7,1018,3
382369,2818,11,1028,11
382370,2818,13,1008,4
382371,2818,12,1013,7
382372,2818,14,1000,10
382373,2818,15,1025,9
382374,2818,16,1027,5
382375,2819,1,1004,1
382376,2819,10,1001,3
382377,2819,2,1002,11
382378,2819,3,1012,13
382379,2819,6,1011,14
382380,2819,9,1026,4
382381,2819,8,1023,5
382382,2819,4,1006,10
382383,2819,5,1007,6
382384,2819,7,1018,9
382385,2819,11,1028,2
382386,2819,13,1021,15
382387,2819,12,1013,12
382388,2819,14,1000,8
382389,2819,15,1031,16
382390,2819,16,1016,7
382391,2820,1,1009,3
382392,2820,10,1001,7
382393,2820,2,1002,1
382394,2820,3,1012,16
382395,2820,6,1011,15
382396,2820,9,1015,14
382397,2820,8,1023,12
382398,2820,4,1006,11
382399,2820,5,1024,10
382400,2820,7,1018,4
382401,2820,11,1028,5
382402,2820,13,1021,6
382403,2820,12,1013,2
382404,2820,14,1000,8
382405,2820,15,1025,13
382406,2820,16,1016,9
382407,2821,1,1009,2
382408,2821,10,1001,7
382409,2821,2,1002,6
382410,2821,3,1012,13
382411,2821,6,1011,15
382412,2821,9,1015,14
